backend_key,framework,n_run,t_run,rounds,sim_time_mean_s,sim_time_std_s,total_time_mean_s,total_time_std_s,build_time_mean_s,realtime_ratio_mean,spikes_mean,active_neurons_mean,brian2_sim_time_mean_s,brian2_total_time_mean_s,genn_sim_time_mean_s,genn_total_time_mean_s,brian2genn_speedup_vs_brian2_sim,brian2genn_speedup_vs_brian2_total,genn_speedup_vs_brian2genn_sim,genn_speedup_vs_brian2genn_total
brian2genn,Brian2GeNN (GPU),1,0.1,5,0.1978,0.014078,31.3478,1.899703,29.917,0.50728,1554.0,327.6,0.8256,5.199,0.4096,15.5808,4.173913,0.165849,0.48291,2.011951
brian2genn,Brian2GeNN (GPU),1,1.0,5,1.9362,0.061071,32.8644,2.685893,29.557,0.51688,16944.4,395.2,2.8946,6.2572,0.5594,15.121,1.49499,0.190394,3.461208,2.173428
brian2genn,Brian2GeNN (GPU),1,10.0,5,19.2282,0.343818,49.8404,2.591564,29.1134,0.5202,169840.2,434.0,25.934,29.7562,5.7666,21.9832,1.348748,0.59703,3.334408,2.267204
brian2genn,Brian2GeNN (GPU),1,100.0,5,191.2068,1.71094,231.4558,9.608632,35.4332,0.52302,1705789.2,453.6,281.469,288.6226,51.2296,72.5748,1.472066,1.246988,3.73235,3.189203
brian2genn,Brian2GeNN (GPU),4,0.1,5,0.7942,0.041246,121.3934,7.019446,115.9482,0.50476,6189.0,360.6,5.3716,5.4284,0.078,14.7616,6.763536,0.044717,10.182051,8.223594
brian2genn,Brian2GeNN (GPU),4,1.0,5,7.8706,0.200657,129.5626,7.685925,116.4818,0.50852,67935.4,424.4,8.7798,8.959,0.709,15.1412,1.115519,0.069148,11.100987,8.556957
brian2genn,Brian2GeNN (GPU),4,10.0,5,76.463,0.534859,200.2696,9.677928,118.1304,0.52314,681434.4,446.8,54.1742,55.4414,7.6356,28.8574,0.708502,0.276834,10.014013,6.939974
brian2genn,Brian2GeNN (GPU),4,100.0,5,766.7128,7.531768,932.6286,35.723058,145.8348,0.52174,6824179.4,472.6,530.531,545.5122,74.7612,114.351,0.691955,0.584919,10.255491,8.155841
brian2genn,Brian2GeNN (GPU),8,0.1,5,1.6184,0.060496,244.772,12.269907,233.0352,0.49482,12350.6,373.8,5.501,5.5706,0.1118,14.0996,3.399036,0.022758,14.47585,17.360209
brian2genn,Brian2GeNN (GPU),8,1.0,5,16.0972,0.450342,259.479,13.653855,232.6766,0.4973,135218.0,433.0,14.0352,14.3386,1.154,17.0184,0.871903,0.055259,13.949047,15.246968
brian2genn,Brian2GeNN (GPU),8,10.0,5,157.3666,8.137927,422.965,45.909144,252.888,0.50938,1363065.0,454.0,81.805,84.2792,11.813,41.2066,0.519837,0.199258,13.321476,10.264496
brian2genn,Brian2GeNN (GPU),8,100.0,5,1545.1308,37.18551,1889.0962,84.10603,303.519,0.518,13650822.6,484.4,814.4012,845.449,118.671,185.266,0.527076,0.447542,13.02029,10.19667
brian2genn,Brian2GeNN (GPU),16,0.1,5,3.2662,0.135682,482.9646,15.687653,459.8406,0.49054,24577.8,395.6,9.4838,9.6022,1.0248,15.327,2.903619,0.019882,3.187158,31.510707
brian2genn,Brian2GeNN (GPU),16,1.0,5,32.2182,1.156858,518.9606,21.967928,467.214,0.49714,270303.6,439.6,28.676,29.2,9.0292,26.7894,0.890056,0.056266,3.568223,19.371863
brian2genn,Brian2GeNN (GPU),16,10.0,5,306.6978,2.264431,817.0248,30.202115,486.1378,0.52172,2726460.6,457.8,219.3522,224.3928,88.5944,120.6022,0.715206,0.274646,3.461819,6.774543
brian2genn,Brian2GeNN (GPU),16,100.0,5,3067.5872,22.718897,3764.2684,99.9799,615.3898,0.5216,27300239.8,492.0,2205.4998,2266.4344,1006.3718,1116.199,0.718969,0.602092,3.048165,3.372399
brian2genn,Brian2GeNN (GPU),32,0.1,5,6.4762,0.239803,988.5912,38.419343,940.2598,0.49462,49441.0,406.2,26.7444,27.0982,2.6474,17.1908,4.129644,0.027411,2.446249,57.506992
brian2genn,Brian2GeNN (GPU),32,1.0,5,64.4976,1.940949,1054.0374,34.590111,948.5436,0.4965,540382.2,447.6,74.3194,76.0018,26.6814,46.4714,1.152282,0.072105,2.417324,22.681421
brian2genn,Brian2GeNN (GPU),32,10.0,5,616.3136,6.051526,1638.841,61.993704,971.595,0.51928,5454233.8,469.8,451.8476,461.6742,232.7314,273.3338,0.733146,0.281708,2.648176,5.99575
brian2genn,Brian2GeNN (GPU),32,100.0,5,6186.0696,76.229517,7550.3042,305.774973,1201.7312,0.51736,54593674.4,495.8,4311.0142,4430.1052,3140.5536,3329.6636,0.696891,0.586745,1.969739,2.267588
