run_label,round,reference_backend,reference_framework,comparison_backend,comparison_framework,t_run,n_run,flywire_id,reference_rate_hz,comparison_rate_hz
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940605513649,0.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940605658033,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940605682790,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940605890784,10.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940606607234,20.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940606852018,10.0,0.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940606866377,90.0,90.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940607193986,40.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940607272649,60.0,60.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940607386290,30.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940607451081,40.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940607689394,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940608498780,30.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940608735241,30.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940609133269,30.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940609405635,20.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940609407939,60.0,50.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940609915204,40.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940609939780,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940609993284,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940610000964,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940610001220,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940610054980,60.0,60.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940610232274,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940610258552,30.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940610482883,60.0,50.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940610611246,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940610677828,50.0,40.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940610803554,30.0,40.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940610916465,40.0,40.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940611015122,50.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940611151406,20.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940611160930,30.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940611164770,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940611366058,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940611436408,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940611548878,50.0,50.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940611549902,30.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940611875570,190.0,190.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940611988197,0.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940612036837,30.0,50.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940612208858,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940612289010,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940612423922,80.0,60.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940612479205,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940612537061,10.0,0.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940612558061,40.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940612648106,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940612670570,170.0,130.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940612692633,70.0,70.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940612766515,0.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940612888178,40.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940612906518,80.0,80.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940612952557,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940613004402,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940613347299,30.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940613670893,20.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940613687789,40.0,40.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940613743569,10.0,0.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940613929391,40.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940613943215,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940614128691,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940614660519,20.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940614730914,0.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940614763666,100.0,100.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940615023535,10.0,0.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940615052812,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940615153494,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940615296766,0.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940615296818,30.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940615582111,0.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940615623867,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940615671106,90.0,70.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940615811670,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940616018956,80.0,80.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940616103218,90.0,90.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940616466260,60.0,50.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940616864086,30.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940616864217,40.0,50.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940616885538,200.0,180.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940617000768,130.0,300.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940617373268,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940617488477,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940617494877,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940617552057,40.0,40.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940617593233,70.0,70.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940617629841,60.0,60.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940617937543,190.0,190.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940618165019,100.0,80.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940618238523,60.0,60.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940618472261,50.0,40.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940618574749,50.0,50.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940618696989,40.0,40.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940618726171,10.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940618859480,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940619114048,30.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940619173534,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940619176094,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940619473624,30.0,40.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940619588568,50.0,40.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940619671616,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940619877396,90.0,70.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940619973712,120.0,120.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620025620,30.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620031366,50.0,60.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620170887,30.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620271636,0.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620274085,100.0,80.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620335269,50.0,60.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620346673,10.0,0.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620374693,30.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620473547,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620474278,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620481240,40.0,50.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620673985,40.0,40.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620780272,30.0,40.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620805046,10.0,10.0
