run_label,round,reference_framework,comparison_framework,reference_backend,comparison_backend,n_run,t_run,tolerance_ms,spikes_reference,spikes_comparison,spike_count_ratio_comparison_over_reference,active_reference,active_comparison,active_shared,active_union,active_jaccard,active_precision_comparison_over_reference,active_recall_comparison_over_reference,rate_pearson_shared,rate_rmse_hz_shared,rate_mae_hz_shared,timing_matches,timing_f1,timing_precision_comparison_over_reference,timing_recall_comparison_over_reference,timing_mean_abs_dt_ms,timing_median_abs_dt_ms,reference_spike_path,comparison_spike_path
nature_2026_05,1,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,1,0.1,1.0,1558,1520,0.97561,323,331,306,348,0.87931,0.924471,0.947368,0.94121349,17.187927,6.993464,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2cpp_t0.1s_n1.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2genn_t0.1s_n1.parquet
nature_2026_05,1,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,1,1.0,1.0,16567,16738,1.010322,380,383,369,394,0.936548,0.963446,0.971053,0.98997734,6.703759,3.704607,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2cpp_t1.0s_n1.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2genn_t1.0s_n1.parquet
nature_2026_05,1,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,1,10.0,1.0,170940,169551,0.991874,434,434,430,438,0.981735,0.990783,0.990783,0.99944338,1.627689,0.824884,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2cpp_t10.0s_n1.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2genn_t10.0s_n1.parquet
nature_2026_05,1,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,1,100.0,1.0,1705441,1706070,1.000369,458,455,454,459,0.989107,0.997802,0.991266,0.99994624,0.482204,0.244758,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2cpp_t100.0s_n1.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2genn_t100.0s_n1.parquet
nature_2026_05,1,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,4,0.1,1.0,6008,6353,1.057423,357,367,350,374,0.935829,0.953678,0.980392,0.9809136,9.605616,4.864286,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2cpp_t0.1s_n4.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2genn_t0.1s_n4.parquet
nature_2026_05,1,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,4,1.0,1.0,67813,67797,0.999764,430,415,410,435,0.942529,0.987952,0.953488,0.99869025,2.407084,1.194512,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2cpp_t1.0s_n4.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2genn_t1.0s_n4.parquet
nature_2026_05,1,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,4,10.0,1.0,683353,679613,0.994527,446,446,443,449,0.986637,0.993274,0.993274,0.99980731,0.962149,0.502483,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2cpp_t10.0s_n4.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2genn_t10.0s_n4.parquet
nature_2026_05,1,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,4,100.0,1.0,6815172,6823577,1.001233,471,474,461,484,0.952479,0.972574,0.978769,0.99998752,0.239384,0.117055,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2cpp_t100.0s_n4.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2genn_t100.0s_n4.parquet
nature_2026_05,1,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,8,0.1,1.0,12349,12412,1.005102,371,384,362,393,0.92112,0.942708,0.975741,0.99363972,5.308995,3.066298,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2cpp_t0.1s_n8.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2genn_t0.1s_n8.parquet
nature_2026_05,1,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,8,1.0,1.0,134226,134384,1.001177,433,431,425,439,0.968109,0.986079,0.981524,0.99913065,1.94478,1.061471,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2cpp_t1.0s_n8.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2genn_t1.0s_n8.parquet
