run_label,round,n_run,t_run,flywire_id,reference_backend,comparison_backend,reference_framework,comparison_framework,reference_rate_hz,comparison_rate_hz
nature_2026_05,1,1,0.1,720575940605658033,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,10.0
nature_2026_05,1,1,0.1,720575940605682790,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940605890784,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940606607234,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,0.0
nature_2026_05,1,1,0.1,720575940606852018,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,0.0
nature_2026_05,1,1,0.1,720575940606866377,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),90.0,80.0
nature_2026_05,1,1,0.1,720575940607193986,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),40.0,40.0
nature_2026_05,1,1,0.1,720575940607272649,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),60.0,60.0
nature_2026_05,1,1,0.1,720575940607386290,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,30.0
nature_2026_05,1,1,0.1,720575940607451081,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),40.0,30.0
nature_2026_05,1,1,0.1,720575940607689394,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940608498780,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,20.0
nature_2026_05,1,1,0.1,720575940608735241,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,30.0
nature_2026_05,1,1,0.1,720575940609133269,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,20.0
nature_2026_05,1,1,0.1,720575940609405635,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,30.0
nature_2026_05,1,1,0.1,720575940609407939,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),60.0,50.0
nature_2026_05,1,1,0.1,720575940609915204,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),40.0,30.0
nature_2026_05,1,1,0.1,720575940609939780,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,20.0
nature_2026_05,1,1,0.1,720575940609993284,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940610000964,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940610001220,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940610054980,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),60.0,70.0
nature_2026_05,1,1,0.1,720575940610232274,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940610258552,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,30.0
nature_2026_05,1,1,0.1,720575940610482883,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),60.0,50.0
nature_2026_05,1,1,0.1,720575940610611246,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940610677828,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),50.0,40.0
nature_2026_05,1,1,0.1,720575940610803554,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,30.0
