run_label,round,reference_framework,comparison_framework,reference_backend,comparison_backend,n_run,t_run,spikes_reference,spikes_comparison,spike_count_ratio_comparison_over_reference,active_reference,active_comparison,active_shared,active_union,active_jaccard,active_precision_comparison_over_reference,active_recall_comparison_over_reference,rate_pearson_shared,rate_rmse_hz_shared,rate_mae_hz_shared,reference_spike_path,comparison_spike_path
nature_2026_05,1,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,1,0.1,1558,1443,0.92618742,323,315,304,334,0.91017964,0.96507937,0.94117647,0.94646547,16.70171753,8.42105263,data/results/nature_2026_05/round_01/brian2cpp_t0.1s_n1.parquet,data/results/nature_2026_05/round_01/genn_t0.1s_n1.parquet
nature_2026_05,1,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,1,1.0,16567,16978,1.02480835,380,386,370,396,0.93434343,0.95854922,0.97368421,0.9891451,7.16843682,3.84594595,data/results/nature_2026_05/round_01/brian2cpp_t1.0s_n1.parquet,data/results/nature_2026_05/round_01/genn_t1.0s_n1.parquet
nature_2026_05,1,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,1,10.0,170940,173131,1.01281736,434,438,431,441,0.97732426,0.98401826,0.99308756,0.99929766,1.97051349,0.97308585,data/results/nature_2026_05/round_01/brian2cpp_t10.0s_n1.parquet,data/results/nature_2026_05/round_01/genn_t10.0s_n1.parquet
nature_2026_05,1,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,1,100.0,1705441,1725771,1.01192067,458,466,453,471,0.96178344,0.972103,0.98908297,0.99990314,0.97364872,0.51172185,data/results/nature_2026_05/round_01/brian2cpp_t100.0s_n1.parquet,data/results/nature_2026_05/round_01/genn_t100.0s_n1.parquet
nature_2026_05,1,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,4,0.1,6008,6217,1.03478695,357,363,347,373,0.93029491,0.95592287,0.9719888,0.98229392,9.07858741,4.29394813,data/results/nature_2026_05/round_01/brian2cpp_t0.1s_n4.parquet,data/results/nature_2026_05/round_01/genn_t0.1s_n4.parquet
nature_2026_05,1,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,4,1.0,67813,68189,1.00554466,430,434,426,438,0.97260274,0.98156682,0.99069767,0.99837271,2.74815879,1.46420188,data/results/nature_2026_05/round_01/brian2cpp_t1.0s_n4.parquet,data/results/nature_2026_05/round_01/genn_t1.0s_n4.parquet
nature_2026_05,1,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,4,10.0,683353,690425,1.01034897,446,447,440,453,0.97130243,0.98434004,0.98654709,0.9997224,1.29282988,0.62238636,data/results/nature_2026_05/round_01/brian2cpp_t10.0s_n4.parquet,data/results/nature_2026_05/round_01/genn_t10.0s_n4.parquet
nature_2026_05,1,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,4,100.0,6815172,6900210,1.01247775,471,480,463,488,0.94877049,0.96458333,0.98301486,0.99989585,1.02934039,0.52426566,data/results/nature_2026_05/round_01/brian2cpp_t100.0s_n4.parquet,data/results/nature_2026_05/round_01/genn_t100.0s_n4.parquet
nature_2026_05,1,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,8,0.1,12349,12458,1.00882663,371,375,366,380,0.96315789,0.976,0.98652291,0.99191878,5.98302757,3.1454918,data/results/nature_2026_05/round_01/brian2cpp_t0.1s_n8.parquet,data/results/nature_2026_05/round_01/genn_t0.1s_n8.parquet
nature_2026_05,1,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,8,1.0,134226,136329,1.01566761,433,436,427,442,0.96606335,0.9793578,0.98614319,0.99925987,1.96504137,1.07845433,data/results/nature_2026_05/round_01/brian2cpp_t1.0s_n8.parquet,data/results/nature_2026_05/round_01/genn_t1.0s_n8.parquet
nature_2026_05,1,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,8,10.0,1362699,1379181,1.01209511,450,458,449,459,0.97821351,0.98034934,0.99777778,0.9998811,1.03214668,0.51021715,data/results/nature_2026_05/round_01/brian2cpp_t10.0s_n8.parquet,data/results/nature_2026_05/round_01/genn_t10.0s_n8.parquet
nature_2026_05,1,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,8,100.0,13656692,13807796,1.01106447,473,486,467,492,0.94918699,0.96090535,0.98731501,0.99992152,0.91247695,0.44368308,data/results/nature_2026_05/round_01/brian2cpp_t100.0s_n8.parquet,data/results/nature_2026_05/round_01/genn_t100.0s_n8.parquet
nature_2026_05,1,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,16,0.1,24506,25173,1.02721782,388,399,375,412,0.91019417,0.93984962,0.96649485,0.99535976,4.71013977,2.37333333,data/results/nature_2026_05/round_01/brian2cpp_t0.1s_n16.parquet,data/results/nature_2026_05/round_01/genn_t0.1s_n16.parquet
nature_2026_05,1,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,16,1.0,270595,273580,1.01103125,443,444,435,452,0.96238938,0.97972973,0.98194131,0.99964208,1.4164057,0.70043103,data/results/nature_2026_05/round_01/brian2cpp_t1.0s_n16.parquet,data/results/nature_2026_05/round_01/genn_t1.0s_n16.parquet
nature_2026_05,1,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,16,10.0,2730441,2754818,1.00892786,458,463,452,469,0.96375267,0.9762419,0.98689956,0.99988793,0.93092393,0.43512168,data/results/nature_2026_05/round_01/brian2cpp_t10.0s_n16.parquet,data/results/nature_2026_05/round_01/genn_t10.0s_n16.parquet
nature_2026_05,1,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,16,100.0,27298882,27622970,1.01187184,488,493,484,497,0.97384306,0.98174442,0.99180328,0.99992771,0.91481245,0.45088972,data/results/nature_2026_05/round_01/brian2cpp_t100.0s_n16.parquet,data/results/nature_2026_05/round_01/genn_t100.0s_n16.parquet
nature_2026_05,1,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,32,0.1,49013,50115,1.02248383,421,409,401,429,0.93473193,0.9804401,0.95249406,0.99741413,3.54196844,1.83837282,data/results/nature_2026_05/round_01/brian2cpp_t0.1s_n32.parquet,data/results/nature_2026_05/round_01/genn_t0.1s_n32.parquet
nature_2026_05,1,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,32,1.0,541136,547221,1.01124486,447,452,441,458,0.9628821,0.97566372,0.98657718,0.9997379,1.34350691,0.61238662,data/results/nature_2026_05/round_01/brian2cpp_t1.0s_n32.parquet,data/results/nature_2026_05/round_01/genn_t1.0s_n32.parquet
nature_2026_05,1,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,32,10.0,5460985,5515961,1.01006705,472,503,468,507,0.92307692,0.9304175,0.99152542,0.99990179,0.94772414,0.44726229,data/results/nature_2026_05/round_01/brian2cpp_t10.0s_n32.parquet,data/results/nature_2026_05/round_01/genn_t10.0s_n32.parquet
nature_2026_05,1,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,32,100.0,54594602,55256757,1.01212858,497,522,491,528,0.92992424,0.94061303,0.98792757,0.99993063,0.90841973,0.45080003,data/results/nature_2026_05/round_01/brian2cpp_t100.0s_n32.parquet,data/results/nature_2026_05/round_01/genn_t100.0s_n32.parquet
nature_2026_05,2,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,1,0.1,1574,1443,0.91677255,325,315,306,334,0.91616766,0.97142857,0.94153846,0.94289836,16.58804988,8.69281046,data/results/nature_2026_05/round_02/brian2cpp_t0.1s_n1.parquet,data/results/nature_2026_05/round_02/genn_t0.1s_n1.parquet
nature_2026_05,2,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,1,1.0,17011,16978,0.99806008,397,386,374,409,0.91442543,0.96891192,0.94206549,0.99210285,6.05522711,2.97593583,data/results/nature_2026_05/round_02/brian2cpp_t1.0s_n1.parquet,data/results/nature_2026_05/round_02/genn_t1.0s_n1.parquet
nature_2026_05,2,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,1,10.0,170998,173131,1.01247383,437,438,432,443,0.9751693,0.98630137,0.98855835,0.99928505,2.03729691,0.99652778,data/results/nature_2026_05/round_02/brian2cpp_t10.0s_n1.parquet,data/results/nature_2026_05/round_02/genn_t10.0s_n1.parquet
nature_2026_05,2,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,1,100.0,1706927,1725771,1.01103972,459,466,451,474,0.95147679,0.96781116,0.98257081,0.99987183,1.09627296,0.52179601,data/results/nature_2026_05/round_02/brian2cpp_t100.0s_n1.parquet,data/results/nature_2026_05/round_02/genn_t100.0s_n1.parquet
nature_2026_05,2,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,4,0.1,6252,6217,0.99440179,374,363,349,388,0.89948454,0.96143251,0.93315508,0.98936425,7.13410229,3.8252149,data/results/nature_2026_05/round_02/brian2cpp_t0.1s_n4.parquet,data/results/nature_2026_05/round_02/genn_t0.1s_n4.parquet
nature_2026_05,2,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,4,1.0,67036,68189,1.01719971,421,434,420,435,0.96551724,0.96774194,0.9976247,0.99823212,2.96000121,1.73452381,data/results/nature_2026_05/round_02/brian2cpp_t1.0s_n4.parquet,data/results/nature_2026_05/round_02/genn_t1.0s_n4.parquet
nature_2026_05,2,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,4,10.0,681585,690425,1.01296977,447,447,440,454,0.969163,0.98434004,0.98434004,0.99979854,1.24926171,0.68801136,data/results/nature_2026_05/round_02/brian2cpp_t10.0s_n4.parquet,data/results/nature_2026_05/round_02/genn_t10.0s_n4.parquet
nature_2026_05,2,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,4,100.0,6836569,6900210,1.00930891,473,480,468,485,0.96494845,0.975,0.98942918,0.99988248,0.97076459,0.48227564,data/results/nature_2026_05/round_02/brian2cpp_t100.0s_n4.parquet,data/results/nature_2026_05/round_02/genn_t100.0s_n4.parquet
nature_2026_05,2,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,8,0.1,12635,12458,0.98599129,389,375,364,400,0.91,0.97066667,0.93573265,0.99116367,6.46206173,3.2760989,data/results/nature_2026_05/round_02/brian2cpp_t0.1s_n8.parquet,data/results/nature_2026_05/round_02/genn_t0.1s_n8.parquet
nature_2026_05,2,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,8,1.0,134305,136329,1.01507018,434,436,429,441,0.97278912,0.98394495,0.98847926,0.99913867,2.07253027,1.07692308,data/results/nature_2026_05/round_02/brian2cpp_t1.0s_n8.parquet,data/results/nature_2026_05/round_02/genn_t1.0s_n8.parquet
nature_2026_05,2,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,8,10.0,1365363,1379181,1.01012039,450,458,448,460,0.97391304,0.97816594,0.99555556,0.99983387,1.0758685,0.53164062,data/results/nature_2026_05/round_02/brian2cpp_t10.0s_n8.parquet,data/results/nature_2026_05/round_02/genn_t10.0s_n8.parquet
nature_2026_05,2,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,8,100.0,13654654,13807796,1.01121537,473,486,465,494,0.94129555,0.95679012,0.98308668,0.99991898,0.92819776,0.4431371,data/results/nature_2026_05/round_02/brian2cpp_t100.0s_n8.parquet,data/results/nature_2026_05/round_02/genn_t100.0s_n8.parquet
nature_2026_05,2,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,16,0.1,24918,25173,1.01023357,406,399,390,415,0.93975904,0.97744361,0.96059113,0.99591488,4.25946345,2.17628205,data/results/nature_2026_05/round_02/brian2cpp_t0.1s_n16.parquet,data/results/nature_2026_05/round_02/genn_t0.1s_n16.parquet
nature_2026_05,2,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,16,1.0,269016,273580,1.01696553,437,444,432,449,0.96213808,0.97297297,0.98855835,0.99946873,1.79755673,0.89322917,data/results/nature_2026_05/round_02/brian2cpp_t1.0s_n16.parquet,data/results/nature_2026_05/round_02/genn_t1.0s_n16.parquet
nature_2026_05,2,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,16,10.0,2730045,2754818,1.00907421,467,463,452,478,0.94560669,0.9762419,0.96788009,0.99985738,0.99578555,0.50363662,data/results/nature_2026_05/round_02/brian2cpp_t10.0s_n16.parquet,data/results/nature_2026_05/round_02/genn_t10.0s_n16.parquet
nature_2026_05,2,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,16,100.0,27301735,27622970,1.0117661,492,493,487,498,0.97791165,0.98782961,0.9898374,0.99992587,0.91029242,0.45002952,data/results/nature_2026_05/round_02/brian2cpp_t100.0s_n16.parquet,data/results/nature_2026_05/round_02/genn_t100.0s_n16.parquet
nature_2026_05,2,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,32,0.1,49406,50115,1.01435048,394,409,383,420,0.91190476,0.93643032,0.97208122,0.99750921,3.42382457,1.56902742,data/results/nature_2026_05/round_02/brian2cpp_t0.1s_n32.parquet,data/results/nature_2026_05/round_02/genn_t0.1s_n32.parquet
nature_2026_05,2,Brian2 (CPU),GeNN (GPU),brian2cpp,genn,32,1.0,541337,547221,1.01086938,448,452,444,456,0.97368421,0.98230088,0.99107143,0.99971962,1.32808111,0.59698761,data/results/nature_2026_05/round_02/brian2cpp_t1.0s_n32.parquet,data/results/nature_2026_05/round_02/genn_t1.0s_n32.parquet
