n_run,t_run,rounds,sim_realtime_ratio_mean,sim_realtime_ratio_sd,sim_realtime_ratio_min,sim_realtime_ratio_max,total_realtime_ratio_mean,total_realtime_ratio_sd,total_realtime_ratio_min,total_realtime_ratio_max,sim_time_mean_s,sim_time_sd_s,total_time_mean_s,total_time_sd_s,spikes_mean,active_neurons_mean,best_original_framework,old_sim_realtime_ratio_mean,old_sim_realtime_ratio_sd,old_total_realtime_ratio_mean,old_total_realtime_ratio_sd,genn_vs_best_original_sim_ratio,genn_vs_best_original_total_ratio
1,0.1,5,1.45172,0.89209862,0.0553,2.241,0.00666005,0.00143037,0.0049581,0.00860067,0.4096,0.78195224,15.5808,3.33970586,1443.0,315.0,NEST GPU,0.39102,0.01487605,0.01681306,0.00067802,3.71264897,0.39612386
1,1.0,5,1.82062,0.26187482,1.4148,2.125,0.0663934,0.00465412,0.06017933,0.07296075,0.5594,0.08933252,15.121,1.05933729,16978.0,386.0,NEST GPU,0.81002,0.04725931,0.14632718,0.00331589,2.24762352,0.45373256
1,10.0,5,1.7803,0.31005816,1.3409,2.1288,0.45946798,0.05100358,0.3979466,0.52208416,5.7666,1.08505037,21.9832,2.47122959,173131.0,438.0,NEST GPU,0.8874,0.0625206,0.5818586,0.02706516,2.00619788,0.78965574
1,100.0,5,1.95804,0.12024038,1.785,2.102,1.3841577,0.10231268,1.23190638,1.50303613,51.2296,3.22231242,72.5748,5.56945879,1725771.0,466.0,NEST GPU,0.87906,0.03175717,0.80310216,0.0267488,2.22742475,1.72351386
4,0.1,5,5.31754,1.01477869,3.5904,6.2463,0.02759454,0.00385667,0.0211943,0.03144901,0.078,0.01882817,14.7616,2.39158761,6217.0,363.0,NEST GPU,0.43034,0.01253348,0.0180447,0.00037058,12.35660176,1.52923248
4,1.0,5,5.66106,0.3806921,5.3433,6.3026,0.26489315,0.01582492,0.25168313,0.29177912,0.709,0.04473813,15.1412,0.85366311,68189.0,434.0,NEST GPU,0.81114,0.05220424,0.14708624,0.0029397,6.97914047,1.80093767
4,10.0,5,5.25836,0.37432791,4.9966,5.8984,1.3939513,0.11937414,1.28303823,1.57393563,7.6356,0.5058565,28.8574,2.36831149,690425.0,447.0,NEST GPU,0.88734,0.05660647,0.58228228,0.02464562,5.92598102,2.39394423
4,100.0,5,5.36576,0.32269647,4.9604,5.8153,3.50855293,0.21594998,3.22598856,3.81912618,74.7612,4.46174352,114.351,6.99690303,6900210.0,480.0,NEST GPU,0.85086,0.02871329,0.77943539,0.02401637,6.30627835,4.50140318
8,0.1,5,7.19186,0.43052012,6.6097,7.7988,0.05704087,0.0047362,0.05201222,0.06432419,0.1118,0.00653452,14.0996,1.12501724,12458.0,375.0,NEST GPU,0.42592,0.00519538,0.01785324,0.00035667,16.88547145,3.1949878
8,1.0,5,6.95876,0.47430281,6.2387,7.4433,0.47321768,0.04391177,0.42851786,0.53959261,1.154,0.08156899,17.0184,1.52438948,136329.0,436.0,NEST GPU,0.80708,0.03505042,0.14555832,0.00251266,8.62214403,3.25105219
8,10.0,5,6.79002,0.39006136,6.3373,7.2792,1.95385224,0.17675663,1.76705763,2.20921242,11.813,0.67945272,41.2066,3.6258234,1379181.0,458.0,Brian2 (CPU),0.97908,0.03736324,0.95038784,0.03707499,6.93510234,2.05584727
8,100.0,5,6.75744,0.36870112,6.2594,7.2672,4.33006181,0.25878339,4.04516426,4.74180853,118.671,6.48381905,185.266,10.70560225,13807796.0,486.0,Brian2 (CPU),0.98666,0.07075788,0.95066849,0.06998013,6.84880303,4.55475474
16,0.1,5,1.60874,0.29984133,1.2424,1.9229,0.10588736,0.01466666,0.09431738,0.12817432,1.0248,0.20296478,15.327,1.95960417,25173.0,399.0,NEST GPU,0.43362,0.01155971,0.01802929,0.00033146,3.7100226,5.87307331
16,1.0,5,1.78438,0.16577995,1.5668,1.9977,0.60295139,0.06438188,0.5078559,0.68891281,9.0292,0.84641166,26.7894,2.98364698,273580.0,444.0,NEST GPU,0.81862,0.02945203,0.14711688,0.00211566,2.17974152,4.09845148
16,10.0,5,1.8119,0.11454161,1.6477,1.9553,1.3308535,0.08391039,1.22346608,1.45478351,88.5944,5.720029,120.6022,7.52091279,2754818.0,463.0,NEST GPU,0.92536,0.05069658,0.60008116,0.02342151,1.95804876,2.21778917
16,100.0,5,1.66586,0.34849752,1.0723,1.9624,1.49133854,0.2917768,0.99689219,1.75454757,1006.3718,276.39354562,1116.199,278.99496844,27622970.0,493.0,NEST GPU,0.84356,0.07046143,0.77119859,0.06409994,1.97479729,1.93379313
32,0.1,5,1.39074,0.46566675,0.641,1.8484,0.18838994,0.02281076,0.15843153,0.21477952,2.6474,1.33636159,17.1908,2.12268785,50115.0,409.0,NEST GPU,0.42126,0.0139665,0.01743177,0.00124955,3.30138157,10.80727309
32,1.0,5,1.37576,0.46765063,0.647,1.8586,0.72364546,0.15735386,0.46295627,0.84248216,26.6814,13.09147804,46.4714,13.06438733,547221.0,452.0,NEST GPU,0.71444,0.16948057,0.12667795,0.03179085,1.92564806,5.71248148
32,10.0,5,1.4302,0.30558018,1.001,1.8562,1.20347488,0.21246228,0.88498757,1.48119347,232.7314,53.90036308,273.3338,53.52130376,5515961.0,503.0,NEST GPU,0.82742,0.14148133,0.53520246,0.09386787,1.72850547,2.24863481
32,100.0,5,1.27862,0.54709026,0.4883,1.8819,1.17608252,0.47723117,0.47542506,1.68850644,3140.5536,1987.21647717,3329.6636,1981.73186311,55255524.6,522.0,NEST GPU,0.77738,0.14979822,0.71114409,0.13666966,1.64478119,1.65378935
