framework,backend_key,n_run,t_run,normal_rounds,normal_sim_median_s,normal_sim_min_s,normal_sim_max_s,noio_sim_s,sim_reduction_pct,normal_total_median_s,normal_total_min_s,normal_total_max_s,noio_total_s,total_reduction_pct,noio_sim_below_all_normal_rounds,noio_total_below_all_normal_rounds
Brian2 (CPU),brian2cpp,1,0.1,5,0.841000,0.696000,0.916000,0.787000,6.421,4.542000,4.182000,7.143000,3.999000,11.955,false,true
Brian2 (CPU),brian2cpp,1,1,5,2.909000,2.655000,3.078000,2.891000,0.619,6.104000,5.554000,7.136000,5.869000,3.850,false,false
Brian2 (CPU),brian2cpp,1,10,5,25.337000,23.183000,31.059000,24.797000,2.131,29.224000,26.805000,34.416000,27.827000,4.780,false,false
Brian2 (CPU),brian2cpp,1,100,5,286.462000,269.219000,294.834000,298.292000,-4.130,293.939000,276.009000,301.724000,301.153000,-2.454,false,false
Brian2 (CPU),brian2cpp,4,0.1,5,5.394000,4.787000,6.213000,4.451000,17.482,5.449000,4.838000,6.281000,4.486000,17.673,true,true
Brian2 (CPU),brian2cpp,4,1,5,8.170000,7.701000,11.720000,7.490000,8.323,8.328000,7.851000,11.970000,7.526000,9.630,true,true
Brian2 (CPU),brian2cpp,4,10,5,50.758000,47.240000,70.922000,51.646000,-1.749,51.876000,48.337000,72.662000,51.688000,0.362,false,false
Brian2 (CPU),brian2cpp,4,100,5,518.992000,510.012000,587.503000,505.789000,2.544,533.871000,524.355000,603.654000,505.825000,5.253,true,true
Brian2 (CPU),brian2cpp,8,0.1,5,5.283000,4.640000,6.471000,5.863000,-10.979,5.349000,4.701000,6.548000,5.901000,-10.320,false,false
Brian2 (CPU),brian2cpp,8,1,5,13.253000,12.159000,16.308000,13.867000,-4.633,13.588000,12.434000,16.622000,13.915000,-2.407,false,false
Brian2 (CPU),brian2cpp,8,10,5,81.837000,77.783000,86.401000,72.556000,11.341,84.771000,80.015000,89.028000,72.599000,14.359,true,true
Brian2 (CPU),brian2cpp,8,100,5,795.796000,759.864000,919.327000,750.111000,5.741,825.179000,788.568000,958.594000,750.147000,9.093,true,true
Brian2 (CPU),brian2cpp,16,0.1,5,9.504000,8.177000,11.024000,8.716000,8.291,9.618000,8.283000,11.146000,8.752000,9.004,false,false
Brian2 (CPU),brian2cpp,16,1,5,26.919000,25.886000,35.358000,28.295000,-5.112,27.419000,26.420000,35.927000,28.344000,-3.374,false,false
Brian2 (CPU),brian2cpp,16,10,5,215.074000,203.267000,250.160000,197.966000,7.954,220.029000,208.904000,255.940000,198.009000,10.008,true,true
Brian2 (CPU),brian2cpp,16,100,5,2120.129000,1932.367000,2567.729000,1925.868000,9.163,2178.435000,1988.492000,2625.158000,1926.108000,11.583,true,true
Brian2 (CPU),brian2cpp,32,0.1,5,27.844000,21.404000,33.592000,17.508000,37.121,28.091000,21.706000,33.855000,17.604000,37.332,true,true
Brian2 (CPU),brian2cpp,32,1,5,72.005000,66.896000,82.145000,62.850000,12.714,73.118000,69.556000,83.476000,63.083000,13.724,true,true
Brian2 (CPU),brian2cpp,32,10,5,441.862000,429.441000,508.448000,444.738000,-0.651,451.185000,439.115000,519.054000,444.846000,1.405,false,false
Brian2 (CPU),brian2cpp,32,100,5,4170.706000,3977.205000,4803.625000,4175.633000,-0.118,4283.659000,4093.421000,4929.118000,4175.752000,2.519,false,false
Brian2CUDA (GPU),brian2cuda,1,0.1,5,8.994000,8.890000,9.814000,8.734000,2.891,31.804000,29.101000,39.727000,29.121000,8.436,true,false
Brian2CUDA (GPU),brian2cuda,1,1,5,11.981000,11.937000,13.280000,10.890000,9.106,31.311000,30.765000,35.476000,29.799000,4.829,true,true
Brian2CUDA (GPU),brian2cuda,1,10,5,44.633000,42.780000,47.014000,34.068000,23.671,65.490000,61.802000,70.135000,52.967000,19.122,true,true
Brian2CUDA (GPU),brian2cuda,1,100,5,364.994000,352.165000,399.432000,267.779000,26.635,389.924000,375.069000,427.116000,285.956000,26.664,true,true
Brian2CUDA (GPU),brian2cuda,4,0.1,5,36.347000,35.190000,39.722000,34.973000,3.780,58.266000,56.202000,64.586000,54.298000,6.810,true,true
Brian2CUDA (GPU),brian2cuda,4,1,5,48.739000,48.115000,52.762000,43.664000,10.413,69.826000,67.901000,77.280000,62.248000,10.853,true,true
Brian2CUDA (GPU),brian2cuda,4,10,5,173.968000,171.059000,191.564000,136.873000,21.323,194.737000,191.281000,214.962000,154.675000,20.572,true,true
Brian2CUDA (GPU),brian2cuda,4,100,5,1453.857000,1411.437000,1688.813000,1081.649000,25.601,1489.045000,1444.126000,1737.759000,1099.600000,26.154,true,true
Brian2CUDA (GPU),brian2cuda,8,0.1,5,71.297000,69.731000,133.305000,70.270000,1.440,93.279000,89.984000,170.116000,87.716000,5.964,false,true
Brian2CUDA (GPU),brian2cuda,8,1,5,96.881000,94.734000,179.849000,88.938000,8.199,118.390000,114.687000,217.486000,106.547000,10.003,true,true
Brian2CUDA (GPU),brian2cuda,8,10,5,349.906000,339.285000,553.621000,272.610000,22.091,373.436000,361.356000,595.281000,289.480000,22.482,true,true
Brian2CUDA (GPU),brian2cuda,8,100,5,2921.291000,2815.127000,5170.036000,2178.171000,25.438,2972.258000,2864.716000,5262.626000,2195.856000,26.122,true,true
Brian2CUDA (GPU),brian2cuda,16,0.1,5,143.496000,138.953000,264.345000,138.340000,3.593,170.510000,161.270000,308.207000,156.826000,8.025,true,true
Brian2CUDA (GPU),brian2cuda,16,1,5,194.490000,189.505000,294.825000,175.803000,9.608,219.546000,212.472000,336.521000,193.113000,12.040,true,true
Brian2CUDA (GPU),brian2cuda,16,10,5,710.563000,679.555000,815.932000,545.489000,23.231,740.597000,707.102000,853.023000,562.359000,24.067,true,true
Brian2CUDA (GPU),brian2cuda,16,100,5,6095.097000,5645.379000,9478.896000,4272.180000,29.908,6194.305000,5726.327000,9574.160000,4289.300000,30.754,true,true
Brian2CUDA (GPU),brian2cuda,32,0.1,5,295.369000,280.393000,343.680000,277.017000,6.213,327.139000,308.639000,383.376000,294.155000,10.083,true,true
Brian2CUDA (GPU),brian2cuda,32,1,5,397.242000,380.213000,453.589000,349.332000,12.061,429.802000,409.038000,492.918000,365.768000,14.898,true,true
Brian2CUDA (GPU),brian2cuda,32,10,5,1462.400000,1373.412000,2544.060000,1084.527000,25.839,1503.106000,1410.790000,2595.147000,1100.598000,26.778,true,true
Brian2CUDA (GPU),brian2cuda,32,100,5,12147.043000,11863.387000,18022.245000,12235.034000,-0.724,12298.098000,12011.831000,18182.569000,12252.464000,0.371,false,false
PyTorch (CUDA),pytorch,1,0.1,5,1.174000,1.005000,1.268000,0.715000,39.097,3.194000,1.969000,3.604000,1.934000,39.449,true,true
PyTorch (CUDA),pytorch,1,1,5,9.817000,9.142000,11.053000,6.546000,33.320,10.695000,9.819000,12.219000,7.600000,28.939,true,true
PyTorch (CUDA),pytorch,1,10,5,98.391000,91.058000,114.859000,65.093000,33.843,99.732000,92.027000,116.513000,65.980000,33.843,true,true
PyTorch (CUDA),pytorch,1,100,5,1002.408000,926.809000,1026.610000,651.351000,35.021,1007.352000,931.473000,1031.545000,652.385000,35.238,true,true
PyTorch (CUDA),pytorch,4,0.1,5,3.572000,3.302000,3.705000,2.919000,18.281,4.160000,3.861000,4.348000,3.843000,7.620,true,true
PyTorch (CUDA),pytorch,4,1,5,33.074000,30.596000,34.478000,28.984000,12.366,33.731000,31.199000,35.031000,29.888000,11.393,true,true
