framework,n_run,t_run,setup_time,build_time,sim_time,total_time,realtime_ratio,spikes,active_neurons,status,timestamp,backend_key,experiment,experiment_key,run_label,round,spike_path
Brian2 (CPU),1,0.1,0.914,2.252,0.787,3.999,0.1271,0,0,success,2026-06-23 14:48:03,brian2cpp,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2 (CPU),1,1.0,0.713,2.223,2.891,5.869,0.3459,0,0,success,2026-06-23 14:48:09,brian2cpp,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2 (CPU),1,10.0,0.709,2.286,24.797,27.827,0.4033,0,0,success,2026-06-23 14:48:34,brian2cpp,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2 (CPU),1,100.0,0.737,2.088,298.292,301.153,0.3352,0,0,success,2026-06-23 14:53:09,brian2cpp,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2 (CPU),4,0.1,0.0,0.0,4.451,4.486,0.0899,0,0,success,2026-06-23 14:53:14,brian2cpp,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2 (CPU),4,1.0,0.0,0.0,7.49,7.526,0.534,0,0,success,2026-06-23 14:53:19,brian2cpp,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2 (CPU),4,10.0,0.0,0.0,51.646,51.688,0.7745,0,0,success,2026-06-23 14:54:07,brian2cpp,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2 (CPU),4,100.0,0.0,0.0,505.789,505.825,0.7908,0,0,success,2026-06-23 15:01:48,brian2cpp,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2 (CPU),8,0.1,0.0,0.0,5.863,5.901,0.1364,0,0,success,2026-06-23 15:01:53,brian2cpp,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2 (CPU),8,1.0,0.0,0.0,13.867,13.915,0.5769,0,0,success,2026-06-23 15:02:05,brian2cpp,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2 (CPU),8,10.0,0.0,0.0,72.556,72.599,1.1026,0,0,success,2026-06-23 15:03:11,brian2cpp,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2 (CPU),8,100.0,0.0,0.0,750.111,750.147,1.0665,0,0,success,2026-06-23 15:14:36,brian2cpp,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2 (CPU),16,0.1,0.0,0.0,8.716,8.752,0.1836,0,0,success,2026-06-23 15:14:44,brian2cpp,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2 (CPU),16,1.0,0.0,0.0,28.295,28.344,0.5655,0,0,success,2026-06-23 15:15:10,brian2cpp,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2 (CPU),16,10.0,0.0,0.0,197.966,198.009,0.8082,0,0,success,2026-06-23 15:18:11,brian2cpp,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2 (CPU),16,100.0,0.0,0.0,1925.868,1926.108,0.8308,0,0,success,2026-06-23 15:47:24,brian2cpp,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2 (CPU),32,0.1,0.0,0.0,17.508,17.604,0.1828,0,0,success,2026-06-23 15:47:39,brian2cpp,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2 (CPU),32,1.0,0.0,0.0,62.85,63.083,0.5091,0,0,success,2026-06-23 15:48:36,brian2cpp,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2 (CPU),32,10.0,0.0,0.0,444.738,444.846,0.7195,0,0,success,2026-06-23 15:55:23,brian2cpp,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2 (CPU),32,100.0,0.0,0.0,4175.633,4175.752,0.7664,0,0,success,2026-06-23 16:58:40,brian2cpp,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2CUDA (GPU),1,0.1,2.122,18.22,8.734,29.121,0.0114,0,0,success,2026-06-23 16:59:07,brian2cuda,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2CUDA (GPU),1,1.0,0.804,18.053,10.89,29.799,0.0918,0,0,success,2026-06-23 16:59:34,brian2cuda,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2CUDA (GPU),1,10.0,0.797,18.066,34.068,52.967,0.2935,0,0,success,2026-06-23 17:00:25,brian2cuda,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2CUDA (GPU),1,100.0,0.768,17.374,267.779,285.956,0.3734,0,0,success,2026-06-23 17:04:45,brian2cuda,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2CUDA (GPU),4,0.1,0.844,18.441,34.973,54.298,0.0114,0,0,success,2026-06-23 17:05:34,brian2cuda,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2CUDA (GPU),4,1.0,0.797,17.751,43.664,62.248,0.0916,0,0,success,2026-06-23 17:06:30,brian2cuda,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2CUDA (GPU),4,10.0,0.767,16.998,136.873,154.675,0.2922,0,0,success,2026-06-23 17:08:50,brian2cuda,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2CUDA (GPU),4,100.0,0.805,17.111,1081.649,1099.6,0.3698,0,0,success,2026-06-23 17:25:31,brian2cuda,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2CUDA (GPU),8,0.1,0.792,16.618,70.27,87.716,0.0114,0,0,success,2026-06-23 17:26:53,brian2cuda,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
Brian2CUDA (GPU),8,1.0,0.783,16.79,88.938,106.547,0.09,0,0,success,2026-06-23 17:28:28,brian2cuda,Sugar GRNs (200 Hz),sugar,nature_2026_07_noio,1,
